Has CS degree,Has learned sort alg,Used sort alg,Strategy for sorting short number sets,Strategy for sorting long sets,Strategy of using blue star (merge) for purple diamond (sort),Blue star strategy 1 vs. blue star strategy 2
NO,NO,I used no experience to work on this task. I have no programming experience.,"i don't think i'm using the right strategy because i'm taking too many moves. i try comparing each with the highest, then if it's lower with the lowest. then i compare it with a middle weight if still uncertain, then advance up or down the row accordingly.","i did not have a strategy, as you can tell by my performance. i just worked from one end, comparing with the next in line. i just dragged them into place, comparing with high and low ends, and then a middle weighted item, trying to narrow it down without having to compare every item to every other item.","i think i learned nothing except to stop getting confused over low and high, left and right, and trying to work quickly since i kept running out of time."
NO,NO,I think I'm pretty bad at sorting because I get mixed up easily. The only sorting algorithms I did was in algebra somewhat. I'm used to merge sort.  I usually separate the groups then merge them together which is what I was doing in this experiment.  I felt it was better to do step by step.  Group then sort.  (merge-sort) ,i weighed the pairs and separated the smaller fruits from the heavier ones.  then compared the smaller fruits from each other along with the heavier ones.  then i went down the row to check if it was light to heavy.  ,i compared the pairs of the larger ones and separated them into another pairs.  i merged the pairs and compared their weights from left to right.  i went down the row to check their weights accordingly.,for the blue star operator i arranged the light to the heaviest and grouped them together.  i weighed each one in a row.
NO,NO,I don't know any and never used them,finding the least heaviest first then the heaviest. from there i would choose a random letter and go from that one,i would choose the first fruit and the heaviest. then find the fruits that that a smaller than the first fruit and then heavier than the first fruit. then arrange from there,i would choose the first fruit and the heaviest. then find the fruits that that a smaller than the first fruit and then heavier than the first fruit. then arrange from there
NO,NO,I do not know any algorithms.,i compared using the scale. i then arranged the 2 apples i compared. i would go through all the pairs. then i would start the process over again from the left.,"i used the same strategy. i compared using the scale as quickly as i could. it was not efficient, but i think with enough time, i would get the correct order.","i do not think i learned much other than to use the scale. i was worried about running out of time, i never focused on a certain order."
NO,NO,I haven't used any sorting algorithms before,i weighed two fruits against each other then continued down the line until i had them in order by weight from least to most,"i weighed two fruits against each other then i weighed a few others to put them in order, i tried not to weigh each fruit against each fruit","i didn't, i'm sad to say that i felt rushed in the star section and missed the mark completely i think"
NO,NO,n/a,"i tested alphabetically, placing the lightest on the left and working my way down.","i used the same strategy, testing from a and working down the line.",i did not use info from blue star.
NO,NO,I don't know any of these... sorry,you have to go basically one by one ( in pairs ) to set apples from lowest to highest. ,"same thing - you have to check all ( in pairs ) in terms which one is lower and which one is higher. i like to group them in two rows and every new apple compare to first ""lower"" row and then ""higher"" row. not sure if that will make sense to you...",it was the blue star that gave me the idea of grouping apples into two rows ( lower and higher ). not sure it that's how i was supposed to do it or not...
NO,NO,No,"compare a & b.  then compare b & c.  then compare d to the middle weight of a,b,c.  then compare d to either a or b depending on how previous comparison turned out.  then compare e to the middle weight to decide if it is in heavier or lighter half, and then to the middle weight of the half, and continue on this way.","same strategy as smaller pile.  compare a new fruit to the center weight of the sorted list to decide if it is in lighter or heavier half of the list so far.  then compare the new fruit to the center of that half-list, and continue on until the new fruit is ordered.  continue on with next letter of the alphabet. ",i certainly did not try to memorize the letter/weight combinations for any fruit type.  but did start using strategy of comparing a new fruit-letter to the central  weight of currently ordered list 
NO,NO,I do not know any,"i tried to find the first letter, and then go from there. i used the fruits to keep a visual reminder of what the positions were.","i used the first two fruits to establish a baseline and go from there. if i found the second fruit was greater than another than i'd do a new comparison. i'd compare the letter that i believed was the first to the latest letter compared, and then switched the positions if it was lower.","i'd compare the lightest letter in the left box to the ones in the right. if it was less than all of the ones on the right than i'd start again with the next letter in the left box. if it was greater than one of the ones on the right, i'd start comparing the letter in the right box to the ones in the left. i tried to use a similar idea with the purple diamond. i tried to establish a baseline of what i believed to be the lighest, and then start comparing from there."
NO,NO,I haven't used any of those algorithms as I don't know any of them.,i compared the weight of the fruits in the given order and made changes accordingly. i was sometimes confused though and not sure that i always answered correctly. i could not always fill out the bottom row as i  often ran out of time. ,"i used the same technique. i compared the weight of the fruits and arranged and re-arranged as per my findings from the calculations. as this was too long, it was all the more confusing and sometimes frustrating. again, i was not always able to fill out the answer row at the bottom. but still i tried my best an","i simply arranged the fruits in increasing order. i didn't get any help from the blue star operator. or maybe i missed something. if i did, i'm sure it was too hard to notice as i paid full attention while completing the task. "
